,h1,h2,time_arduino,time_python
319,61.48,38.81,96528.0,1708084038.753791
320,61.44,38.88,96620.0,1708084038.8375514
321,61.56,38.92,96711.0,1708084038.931689
322,61.68,38.92,96802.0,1708084039.0246646
323,61.65,38.98,96893.0,1708084039.1125808
324,61.63,39.02,96985.0,1708084039.2027795
325,61.76,39.01,97077.0,1708084039.2980309
326,61.86,39.06,97168.0,1708084039.388161
327,61.9,39.13,97259.0,1708084039.4772792
328,62.0,39.14,97350.0,1708084039.57233
329,62.08,39.16,97441.0,1708084039.6614685
330,62.17,39.22,97533.0,1708084039.7536507
331,62.07,39.21,97625.0,1708084039.8526678
332,61.87,39.25,97716.0,1708084039.935856
333,61.72,39.31,97807.0,1708084040.0261526
334,61.72,39.37,97898.0,1708084040.124978
335,61.67,39.37,97990.0,1708084040.2134004
336,61.48,39.4,98081.0,1708084040.3015168
337,61.35,39.46,98172.0,1708084040.3906133
338,61.36,39.44,98264.0,1708084040.4847357
339,61.27,39.45,98356.0,1708084040.5757873
340,61.04,39.51,98447.0,1708084040.6670132
341,60.93,39.57,98538.0,1708084040.759063
342,60.93,39.6,98629.0,1708084040.8498297
343,60.93,39.61,98720.0,1708084040.941395
344,60.87,39.69,98812.0,1708084041.034665
345,60.87,39.69,98904.0,1708084041.1296554
346,60.88,39.7,98995.0,1708084041.2138827
347,60.85,39.8,99086.0,1708084041.3090043
348,60.96,39.8,99177.0,1708084041.4021275
349,61.01,39.82,99269.0,1708084041.4892893
350,61.0,39.86,99360.0,1708084041.5813835
351,61.03,39.91,99451.0,1708084041.6725059
352,61.08,40.0,99543.0,1708084041.7626257
353,61.22,39.96,99634.0,1708084041.856031
354,61.3,40.04,99726.0,1708084041.9469845
355,61.33,40.12,99817.0,1708084042.0371227
356,61.38,40.04,99908.0,1708084042.131093
357,61.22,40.13,99999.0,1708084042.2251184
358,61.1,40.17,100090.0,1708084042.3120654
359,61.15,40.19,100183.0,1708084042.4015248
360,61.22,40.24,100274.0,1708084042.496743
361,61.27,40.26,100365.0,1708084042.586102
362,61.23,40.35,100456.0,1708084042.6791074
363,61.21,40.29,100548.0,1708084042.770234
364,61.09,40.33,100639.0,1708084042.8602679
365,60.79,40.44,100730.0,1708084042.9503593
366,60.7,40.4,100822.0,1708084043.046446
367,60.68,40.43,100913.0,1708084043.138555
368,60.59,40.49,101005.0,1708084043.224861
369,60.45,40.55,101096.0,1708084043.3190696
370,60.32,40.73,101187.0,1708084043.4105654
371,60.34,40.85,101278.0,1708084043.5002582
372,60.32,40.95,101369.0,1708084043.5903473
373,60.16,40.96,101462.0,1708084043.689496
374,60.01,40.94,101553.0,1708084043.7735348
375,59.87,41.04,101644.0,1708084043.8644378
376,59.87,41.09,101735.0,1708084043.9579706
377,59.98,41.1,101826.0,1708084044.0490978
378,60.1,41.12,101918.0,1708084044.1412277
379,60.14,41.17,102009.0,1708084044.2323
380,60.16,41.23,102100.0,1708084044.324415
381,60.29,41.23,102192.0,1708084044.4126036
382,60.33,41.28,102283.0,1708084044.506842
383,60.37,41.34,102375.0,1708084044.5968645
384,60.43,41.35,102466.0,1708084044.6897852
385,60.51,41.4,102557.0,1708084044.778691
386,60.56,41.42,102648.0,1708084044.871336
387,60.61,41.47,102739.0,1708084044.9663744
388,60.74,41.52,102832.0,1708084045.051592
389,60.74,41.51,102923.0,1708084045.1457114
